,start_station_id,start_station_latitude,start_station_longitude,tripduration,tmp,CensusTract,County_x,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Latitude,Longitude,BlockCode,County_y,State,BlockCode_11,borough_distance,distance_rank
3923608,485,40.75038009,-73.98338988,3137,tmp,36061008200,New York,Manhattan,3060,1561,1499,3.5,72.6,3.4,0.0,18.3,2509,107925.0,27651.0,108621.0,17917.0,7.4,0.0,73.5,3.1,22.6,0.0,0.9,7.0,1.7,30.1,51.1,1.0,9.2,24.1,1983,85.2,5.4,9.3,0.0,0.9,40.7513567839,-73.98241206029999,360610082001007,New York,NY,36061008200,0.13634821960446333,1.0
3941636,486,40.7462009,-73.98855723,5599,tmp,36061007600,New York,Manhattan,1912,843,1069,2.8,45.8,2.6,0.4,46.6,1091,103264.0,25325.0,83498.0,16201.0,18.6,4.0,75.9,7.6,14.5,0.9,1.1,2.1,2.1,36.5,48.8,3.3,7.2,23.4,1306,92.2,1.4,6.1,0.3,3.5,40.7468341709,-73.98874371859999,360610076002002,New York,NY,36061007600,0.07217036794478636,1.0
3959587,487,40.73314259,-73.97573881,4285,tmp,36061004400,New York,Manhattan,16200,6893,9307,7.5,72.6,4.0,0.0,14.0,13929,93010.0,10005.0,57640.0,7553.0,13.1,0.0,68.6,10.5,19.9,0.0,1.0,3.7,3.8,58.1,20.3,4.8,9.2,29.7,10148,77.7,13.4,8.9,0.0,2.6,40.7332663317,-73.976080402,360610044002000,New York,NY,36061004400,0.03191190713185478,1.0
3977820,489,40.75066386,-74.00176802,5309,tmp,36061009700,New York,Manhattan,5163,2633,2530,28.2,51.0,2.1,0.2,15.7,4168,43948.0,14165.0,57497.0,13232.0,16.9,16.8,54.9,20.6,19.9,1.1,3.5,3.7,3.1,39.9,48.2,3.8,1.3,29.2,2432,77.3,10.9,11.8,0.0,12.4,40.7513567839,-74.0014070352,360610097002001,New York,NY,36061009700,0.0828588943854084,1.0
3995915,490,40.751551,-73.993934,6721,tmp,36061010300,New York,Manhattan,1841,1071,770,4.1,60.9,7.7,1.0,22.2,1376,94607.0,13651.0,73889.0,8458.0,8.4,10.9,74.7,3.7,18.5,1.2,1.8,6.6,0.6,47.8,28.0,16.6,0.4,22.4,1398,86.6,3.7,9.7,0.0,3.8,40.7513567839,-73.99507537689999,360610103001004,New York,NY,36061010300,0.09857100462754356,1.0
4013811,491,40.74096374,-73.98602213,6571,tmp,36061006800,New York,Manhattan,7413,3764,3649,9.7,69.1,6.8,0.1,13.8,6400,109526.0,18259.0,80750.0,11350.0,11.2,0.0,69.7,5.5,21.4,0.0,3.4,1.0,0.0,56.9,23.9,6.0,12.1,22.7,4726,92.6,4.6,2.3,0.6,8.3,40.7400502513,-73.98557788939999,360610068002000,New York,NY,36061006800,0.1082851916213988,1.0
4032013,492,40.75019995,-73.99093085,6662,tmp,36061010100,New York,Manhattan,1259,758,501,5.8,52.3,4.7,0.0,34.6,802,159821.0,16784.0,118772.0,18873.0,11.4,0.0,74.2,6.0,17.0,1.1,1.7,4.2,1.1,41.1,38.3,7.4,7.9,23.6,932,90.7,3.6,5.7,0.0,5.7,40.7490954774,-73.9919095477,360610101001007,New York,NY,36061010100,0.14796409782440353,1.0
4050023,493,40.7568001,-73.98291153,3985,tmp,36061009600,New York,Manhattan,149,87,62,4.7,55.0,0.0,8.1,32.2,102,135313.0,38445.0,136078.0,46123.0,8.1,0.0,93.1,0.0,6.9,0.0,0.0,6.9,0.0,26.7,58.6,0.0,7.8,25.7,116,100.0,0.0,0.0,0.0,4.1,40.755879397,-73.98241206029999,360610096001005,New York,NY,36061009600,0.11071915650794978,1.0
4068069,494,40.74734825,-73.99723551,5309,tmp,36061009300,New York,Manhattan,10650,5167,5483,19.5,52.4,20.2,0.0,6.6,7726,76058.0,16263.0,87393.0,35519.0,24.6,74.6,56.0,18.4,20.9,0.0,4.8,4.7,0.4,37.8,35.2,11.6,10.3,30.4,5648,82.6,5.9,11.5,0.0,7.0,40.7468341709,-73.998241206,360610093001002,New York,NY,36061009300,0.10223403496532629,1.0
4086240,495,40.76269882,-73.99301222,3891,tmp,36061012700,New York,Manhattan,6974,3984,2990,26.1,53.6,3.1,0.0,15.2,5630,69578.0,6905.0,57341.0,7878.0,12.5,2.7,62.2,7.5,22.5,2.0,5.8,4.0,0.8,43.7,36.6,7.1,7.8,25.3,5139,85.1,4.2,10.7,0.0,6.6,40.7626633166,-73.9919095477,360610127003000,New York,NY,36061012700,0.09298156389004912,1.0
